2026-03-01 14:15:41 INFO  [main] org.springframework.cloud.stream.binder.BinderErrorChannel - Channel 'rabbit-1059781259.springCloudBusInput.errors' has 1 subscriber(s).
2026-03-01 14:15:41 INFO  [main] org.springframework.cloud.stream.binder.BinderErrorChannel - Channel 'rabbit-1059781259.springCloudBusInput.errors' has 2 subscriber(s).
2026-03-01 14:15:41 INFO  [main] org.springframework.integration.amqp.inbound.AmqpInboundChannelAdapter - started bean 'inbound.springCloudBus.anonymous.uDb_VXlpSPOSW0IL07D6LA'
2026-03-01 14:15:41 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2026-03-01 14:15:41 INFO  [main] org.springframework.boot.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2026-03-01 14:15:42 INFO  [main] com.max2ba.config_server.ConfigServerApplication - Started ConfigServerApplication in 14.359 seconds (process running for 16.69)
2026-03-01 14:16:15 INFO  [http-nio-8888-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-01 14:16:15 INFO  [http-nio-8888-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-01 14:16:15 INFO  [http-nio-8888-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2026-03-01 14:16:16 INFO  [http-nio-8888-exec-1] org.springframework.cloud.config.server.environment.NativeEnvironmentRepository - Adding property source: Config resource 'file [C:\Users\2BA\AppData\Local\Temp\config-repo-1270836522884373882\src\main\resources\config\notification-service.yml]' via location 'file:/C:/Users/2BA/AppData/Local/Temp/config-repo-1270836522884373882/src/main/resources/config/'
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-01 14:17:14 WARN  [Thread-3] org.springframework.cloud.config.server.environment.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\2BA\AppData\Local\Temp\config-repo-1270836522884373882\.git\objects\pack\pack-8bcc912676d236e742d5e762584adf6e9a678445.idx
2026-03-01 14:17:14 INFO  [tomcat-shutdown] org.springframework.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.integration.amqp.inbound.AmqpInboundChannelAdapter - stopped bean 'inbound.springCloudBus.anonymous.uDb_VXlpSPOSW0IL07D6LA'
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.boot.integration.autoconfigure.IntegrationAutoConfiguration$IntegrationJmxConfiguration$1 - Registering MessageChannel rabbit-1059781259.springCloudBusInput.errors
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.cloud.stream.binder.BinderErrorChannel - Channel 'config-server.rabbit-1059781259.springCloudBusInput.errors' has 1 subscriber(s).
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.cloud.stream.binder.BinderErrorChannel - Channel 'config-server.rabbit-1059781259.springCloudBusInput.errors' has 0 subscriber(s).
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.integration.endpoint.EventDrivenConsumer - Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.integration.channel.PublishSubscribeChannel - Channel 'config-server.errorChannel' has 0 subscriber(s).
2026-03-01 14:17:14 INFO  [SpringApplicationShutdownHook] org.springframework.integration.endpoint.EventDrivenConsumer - stopped bean '_org.springframework.integration.errorLogger'
